param_classifier__C,param_classifier__penalty,mean_test_score,std_test_score,rank_test_score
10.0,l2,0.40249527169241134,0.00016644118208866479,1
10.0,l1,0.40249023602419554,0.00016705308953216783,2
1.0,l1,0.4024880071972441,0.0002082464251571421,3
1.0,l2,0.4024760041421393,0.00019401287208767443,4
0.1,l2,0.40239314003663296,0.00024735515029151127,5
0.1,l1,0.40235856457269126,0.00025065540470074125,6
0.01,l2,0.40202903274028956,0.0003362460023804778,7
0.01,l1,0.4020157946785447,0.0002401526902192429,8
