model,accuracy,macro_precision,macro_recall,macro_f1,macro_roc_auc,log_loss,random_seed
Multinomial Logistic Regression (Baseline),0.6467289821382881,0.43324516758568565,0.41569672699954807,0.4031175695518008,0.8083845741129145,0.9156338928898847,42
"Multinomial Logistic Regression (Tuned: {'classifier__C': 10, 'classifier__penalty': 'l2'})",0.6465765505827785,0.43644806948675774,0.4156163667590915,0.40308355229509296,0.8084632532301164,0.9155527275946905,42
