code,description,category
0416,Hit-Hit w/ weapon,Force Used
0417,Kicked,Force Used
0418,Kidnapped,Force Used
0419,Pulled victims hair,Force Used
0420,Searched,Force Used
0421,Threaten to kill,Force Used
0422,Threaten Victims family,Force Used
0423,Tied victim to object,Force Used
0424,Tore clothes off victim,Force Used
0425,Tortured,Force Used
0426,Twisted arm,Force Used
0427,Whipped,Force Used
0428,Dismembered,Force Used
0429,Vict knocked to ground,Force Used
0430,Vict shot,Force Used
0431,Sprayed with chemical,Force Used
0432,Intimidation,Force Used
0433,Makes victim kneel,Force Used
0434,Bed Sheets/Linens,Force Used
0435,Chain,Force Used
0436,Clothing,Force Used
0437,Flexcuffs/Plastic Tie,Force Used
0438,Rope/Cordage,Force Used
0439,Tape/Electrical etc.,Force Used
0440,Telephone/Electric Cord,Force Used
0441,Wire,Force Used
0442,Active Shooter/Armed person who has used deadly physical force,Force Used
0443,Threaten to harm victim (other than kill),Force Used
0444,Pushed,Force Used
0445,Suspect swung weapon,Force Used
0446,Suspect swung fist,Force Used
0447,Suspect threw object at victim,Force Used
0448,Grabbed,Force Used
0449,Put a weapon to body,Force Used
0450,Suspect shot at victim (no hits),Force Used
0451,Suffocation,Force Used
0500,Sex related acts,Sex Related
0501,Susp ejaculated outside victim,Sex Related
0502,Fecal Fetish,Sex Related
0503,Fondle victim,Sex Related
0504,Forced to disrobe,Sex Related
0505,Forced to fondle suspect,Sex Related
0506,Forced to masturbate suspect,Sex Related
0507,Forced to orally copulate suspect,Sex Related
0508,Hit victim prior/during/after act,Sex Related
0509,Hugged,Sex Related
0510,Kissed victims body/face,Sex Related
0511,Masochism/bondage,Sex Related
0512,Orally copulated victim,Sex Related
0513,Photographed victim,Sex Related
0514,Pornography,Sex Related
0515,Put hand/finger or object into vagina,Sex Related
0516,Reached climax/ejaculated,Sex Related
0517,Sadism/Sexual gratification obtained by infliction of pain,Sex Related
0518,Simulated intercourse,Sex Related
0519,Sodomy,Sex Related
0520,Solicited/offered immoral act,Sex Related
0521,Tongue or mouth to anus,Sex Related
0522,Touched,Sex Related
0523,Unable to get erection,Sex Related
0524,Underwear Fetish,Sex Related
0525,Urinated,Sex Related
0526,Utilized Condom,Sex Related
0527,Actual Intercourse,Sex Related
0528,Masturbate,Sex Related
0529,Indecent Exposure,Sex Related
0530,Used lubricant,Sex Related
0531,Suspect made sexually suggestive remarks,Sex Related
0532,Suspect undressed victim,Sex Related
0533,Consentual Sex,Sex Related
0534,Suspect in vehicle nude/partially nude,Sex Related
0535,Suspect asks minor's name,Sex Related
0536,Suspect removes own clothing,Sex Related
0537,Suspect removes victim's clothing,Sex Related
0538,Suspect fondles self,Sex Related
0539,Suspect puts hand in victim's rectum,Sex Related
0540,Suspect puts finger(s) in victim's rectum,Sex Related
0541,Suspect puts object(s) in victim's rectum,Sex Related
0542,Orders victim to undress,Sex Related
0543,Orders victim to fondle suspect,Sex Related
0544,Orders victim to fondle self,Sex Related
0545,Male Victim of sexual assault,Sex Related
0546,Susp instructs vict to make certain statements,Sex Related
0547,Suspect force vict to bathe/clean/wipe,Sex Related
0548,Suspect gives victim douche/enema,Sex Related
0549,Suspect ejaculates in victims mouth,Sex Related
0550,Suspect licks victim,Sex Related
0551,Suspect touches victim genitalia/genitals over clothing,Sex Related
0552,Suspect is Victim's Father,Sex Related
0553,Suspect is Victim's Mother,Sex Related
0554,Suspect is Victim's Brother,Sex Related
0555,Suspect is Victim's Sister,Sex Related
0556,Suspect is Victim's Step-Father,Sex Related
0557,Suspect is Victim's Step-Mother,Sex Related
0558,Suspect is Victim's Uncle,Sex Related
0559,Suspect is Victim's Aunt,Sex Related
0560,Suspect is Victim's Guardian,Sex Related
0561,Suspect is Victim's Son,Sex Related
0562,Suspect is Victim's Daughter,Sex Related
0563,Fetish - Other,Sex Related
0601,Business,Motive/Relationship
0602,Family,Motive/Relationship
0603,Landlord/Tenant/Neighbor,Motive/Relationship
0604,Reproductive Health Services/Facilities,Motive/Relationship
0605,Traffic Accident/Traffic related incident,Motive/Relationship
0701,THEFT: Trick or Device,Theft
0800,BUNCO,Bunco
0901,Organized Crime,Circumstances
0902,Political Activity,Circumstances
0903,Hatred/Prejudice,Circumstances
0904,Strike/Labor Troubles,Circumstances
0905,Terrorist Group,Circumstances
0906,Gangs,Circumstances
0907,Narcotics (Buy-Sell-Rip),Circumstances
0908,Prostitution,Circumstances
0909,Ritual/Occult,Circumstances
0910,Public Transit,Circumstances
0911,Revenge,Circumstances
0912,Insurance,Circumstances
0913,Victim knew Suspect,Circumstances
0914,Other Felony,Circumstances
0915,Parolee,Circumstances
0916,Forced theft of vehicle (Car-Jacking),Circumstances
0917,Victim's Employment,Circumstances
0918,Career Criminal,Circumstances
0919,Road Rage,Circumstances
0920,Homeland Security,Circumstances
0921,Hate Incident,Circumstances
0922,ATM Theft with PIN number,Circumstances
0923,Stolen/Forged Checks (Personal Checks),Circumstances
0924,Stolen/Forged Checks (Business Checks),Circumstances
0925,Stolen/Forged Checks (Cashier's Checks),Circumstances
0926,Forged or Telephonic Prescription,Circumstances
0927,Fraudulent or forged school loan,Circumstances
0928,Forged or Fraudulent credit applications,Circumstances
0929,Unauthorized use of victim's bank account information,Circumstances
0930,Unauthorized use of victim's credit/debit card or number,Circumstances
0931,Counterfeit or forged real estate documents,Circumstances
0932,Suspect uses victim's identity in reporting a traffic collision,Circumstances
0933,Suspect uses victim's identity when arrested,Circumstances
0934,Suspect uses victim's identity when receiving a citation,Circumstances
0935,Misc. Stolen/Forged documents,Circumstances
0936,Dog Fighting,Circumstances
0937,Cock Fighting,Circumstances
0938,Animal Neglect,Circumstances
0939,Animal Hoarding,Circumstances
0940,Met online/Chat Room/on Party Line,Circumstances
0941,Non-Revocable Parole (NRP),Circumstances
0942,Party/Flier party/Rave Party,Circumstances
0943,Human Trafficking,Circumstances
