code,description,category
2135,Sensitive event schedules (susp offer/solicts),Suspicious Activity (SAR)
2136,VIP appearance or travel schedules (susp offer/solicts),Suspicious Activity (SAR)
2137,Security schedules (susp offer/solicts),Suspicious Activity (SAR)
2138,Blueprints/building plans (susp offer/solicts),Suspicious Activity (SAR)
2139,Evacuation or emergency plans (susp offer/solicts),Suspicious Activity (SAR)
2140,Security plans (susp offer/solicts),Suspicious Activity (SAR)
2141,Weapons or ammunition (susp offer/solicts),Suspicious Activity (SAR)
2142,Explosive materials (susp offer/solicts),Suspicious Activity (SAR)
2143,Illicit chemical agents (susp offer/solicts),Suspicious Activity (SAR)
2144,Illicit biological agents (susp offer/solicts),Suspicious Activity (SAR)
2145,Illicit radiological material (susp offer/solicts),Suspicious Activity (SAR)
2146,Other sensitive materials (susp offer/solicts),Suspicious Activity (SAR)
2150,Coded/ciphered literature/correspondence,Suspicious Activity (SAR)
2151,Sensitive event schedules (susp in possession),Suspicious Activity (SAR)
2152,VIP appearance or travel schedules (susp in possession),Suspicious Activity (SAR)
2153,Security schedules (susp in possession),Suspicious Activity (SAR)
2154,Blueprints/building plans (susp in possession),Suspicious Activity (SAR)
2155,Evacuation or emergency plans (susp in possession),Suspicious Activity (SAR)
2156,Security plans (susp in possession),Suspicious Activity (SAR)
2157,Weapons or ammunition (susp in possession),Suspicious Activity (SAR)
2158,Explosive materials (susp in possession),Suspicious Activity (SAR)
2159,Illicit chemical agents (susp in possession),Suspicious Activity (SAR)
2160,Illicit biological agents (susp in possession),Suspicious Activity (SAR)
2161,Illicit radiological material (susp in possession),Suspicious Activity (SAR)
2162,Other sensitive materials (susp in possession),Suspicious Activity (SAR)
2163,Facsimile/Hoax explosive device (susp in possession),Suspicious Activity (SAR)
2164,Facsimile/Hoax dispersal device (susp in possession),Suspicious Activity (SAR)
2170,Associates with known/susp terrorist,Suspicious Activity (SAR)
2171,Corresponds w/suspected terrorist,Suspicious Activity (SAR)
2172,In photos w/suspected terrorists,Suspicious Activity (SAR)
2173,Organization supports overthrow/violent acts,Suspicious Activity (SAR)
2180,Bomb/explosive device,Suspicious Activity (SAR)
2181,Biological agent,Suspicious Activity (SAR)
2182,Chemical agent,Suspicious Activity (SAR)
2183,Radiological matter,Suspicious Activity (SAR)
2184,Military ordinance,Suspicious Activity (SAR)
2185,Incendiary device,Suspicious Activity (SAR)
2186,Pyrotechnics,Suspicious Activity (SAR)
2187,Facsimile/Hoax device,Suspicious Activity (SAR)
2190,Financing terrorism,Suspicious Activity (SAR)
2191,Victim's religion,Suspicious Activity (SAR)
2192,Victim's national origin,Suspicious Activity (SAR)
2193,Influencing societal action,Suspicious Activity (SAR)
2194,Furthering objectives by force,Suspicious Activity (SAR)
2197,SSI - Food/Agriculture,Suspicious Activity (SAR)
2198,Pipeline,Suspicious Activity (SAR)
2199,SSI - Postal/Shipping/Mailbox,Suspicious Activity (SAR)
2200,SSI - Government Facilities/Bldg.,Suspicious Activity (SAR)
2201,Church,Suspicious Activity (SAR)
2202,Synagogue,Suspicious Activity (SAR)
2203,University,Suspicious Activity (SAR)
2204,School,Suspicious Activity (SAR)
2205,Sports Venue,Suspicious Activity (SAR)
2206,Theater,Suspicious Activity (SAR)
2207,Amusement Park,Suspicious Activity (SAR)
2208,Shopping Mall,Suspicious Activity (SAR)
2209,Convention Center,Suspicious Activity (SAR)
2210,Mass Gathering Location,Suspicious Activity (SAR)
2211,Bridge,Suspicious Activity (SAR)
2212,High-Rise Building,Suspicious Activity (SAR)
2213,Airport,Suspicious Activity (SAR)
2214,Freight Train,Suspicious Activity (SAR)
2215,Train Tracks,Suspicious Activity (SAR)
2216,SSI - Chemical storage/Manufacturing plant,Suspicious Activity (SAR)
2217,SSI - Telecommunication Facility/Location,Suspicious Activity (SAR)
2218,SSI - Energy Plant/Facility,Suspicious Activity (SAR)
2219,SSI - Water Facility,Suspicious Activity (SAR)
2220,Sewage Facility/Pipe,Suspicious Activity (SAR)
2221,SSI - Nuclear Facility/Reactors/Materials & Waste,Suspicious Activity (SAR)
2222,SSI - Dam/Reservoir,Suspicious Activity (SAR)
2223,SSI - National Monuments/Icon/Cultural significance,Suspicious Activity (SAR)
2224,Tactical significance,Suspicious Activity (SAR)
2225,SSI - Healthcare & Public Health/Hospital/Medical Clinic,Suspicious Activity (SAR)
2226,Abortion clinic,Suspicious Activity (SAR)
2227,SSI - Defense Industrial Base/Facility,Suspicious Activity (SAR)
2228,SSI - Transportation System,Suspicious Activity (SAR)
2229,SSI - Commercial Facilities,Suspicious Activity (SAR)
2230,SSI - Information Technology,Suspicious Activity (SAR)
2231,SSI - Banking and Finance,Suspicious Activity (SAR)
2232,SSI - Critical Manufacturing,Suspicious Activity (SAR)
2233,SSI - Emergency Services,Suspicious Activity (SAR)
2234,SSI - Waste,Suspicious Activity (SAR)
2301,Breach/Attempted Intrusion,Suspicious Activity (SAR)
2302,Misrepresentation,Suspicious Activity (SAR)
2303,Theft/Loss/Diversion,Suspicious Activity (SAR)
2304,Sabotage/Tampering/Vandalism,Suspicious Activity (SAR)
2305,Cyber Attack,Suspicious Activity (SAR)
2306,Espouses violent extremist views,Suspicious Activity (SAR)
2307,Aviation activity,Suspicious Activity (SAR)
2308,Eliciting information,Suspicious Activity (SAR)
2309,Recruiting,Suspicious Activity (SAR)
2310,Materials,Suspicious Activity (SAR)
2311,Acquisition of expertise,Suspicious Activity (SAR)
2312,Weapons discovery,Suspicious Activity (SAR)
2313,Finance,Suspicious Activity (SAR)
2314,TSC hit,Suspicious Activity (SAR)
2315,Sector-Specific Incident (SSI),Suspicious Activity (SAR)
3001,T/C - Veh vs Non-collision,Traffic Collision (CAD)
3002,T/C - Officer Involved T/C,Traffic Collision (CAD)
3003,T/C - Veh vs Ped,Traffic Collision (CAD)
3004,T/C - Veh vs Veh,Traffic Collision (CAD)
3005,T/C - Veh vs Veh on other roadway,Traffic Collision (CAD)
3006,T/C - Veh vs Parked Veh,Traffic Collision (CAD)
3007,T/C - Veh vs Train,Traffic Collision (CAD)
3008,T/C - Veh vs Bike,Traffic Collision (CAD)
3009,T/C - Veh vs M/C,Traffic Collision (CAD)
3010,T/C - Veh vs Animal,Traffic Collision (CAD)
3011,T/C - Veh vs Fixed Object,Traffic Collision (CAD)
3012,T/C - Veh vs Other Object,Traffic Collision (CAD)
3013,T/C - M/C vs Veh,Traffic Collision (CAD)
3014,T/C - M/C vs Fixed Object,Traffic Collision (CAD)
3015,T/C - M/C vs Other,Traffic Collision (CAD)
3016,T/C - Bike vs Veh,Traffic Collision (CAD)
3017,T/C - Bike vs Train,Traffic Collision (CAD)
3018,T/C - Bike vs Other,Traffic Collision (CAD)
3019,T/C - Train vs Veh,Traffic Collision (CAD)
3020,T/C - Train vs Train,Traffic Collision (CAD)
3021,T/C - Train vs Bike,Traffic Collision (CAD)
3022,T/C - Train vs Ped,Traffic Collision (CAD)
3023,T/C - Train vs Fixed Object,Traffic Collision (CAD)
3024,T/C - (A) Severe Injury,Traffic Collision (CAD)
3025,T/C - (B) Visible Injury,Traffic Collision (CAD)
3026,T/C - (C) Complaint of Injury,Traffic Collision (CAD)
3027,T/C - (K) Fatal Injury,Traffic Collision (CAD)
3028,T/C - (N) Non Injury,Traffic Collision (CAD)
3029,T/C - Hit and Run Fel,Traffic Collision (CAD)
3030,T/C - Hit and Run Misd,Traffic Collision (CAD)
3032,T/C - Private Property - Yes,Traffic Collision (CAD)
3033,T/C - Private Property - No,Traffic Collision (CAD)
3034,T/C - City Property Involved - Yes,Traffic Collision (CAD)
3035,T/C - City Property Involved - No,Traffic Collision (CAD)
3036,T/C - At Intersection - Yes,Traffic Collision (CAD)
3037,T/C - At Intersection - No,Traffic Collision (CAD)
3038,T/C - DUI Felony,Traffic Collision (CAD)
3039,T/C - DUI Misdemeanor,Traffic Collision (CAD)
3040,T/C - Resulting from Street Racing/Speed Exhibition,Traffic Collision (CAD)
3062,T/C - Bicyclist in Bicycle Lane,Traffic Collision (CAD)
3063,T/C - E-Bike,Traffic Collision (CAD)
3064,T/C - Motorized Scooter,Traffic Collision (CAD)
3101,T/C - PCF (A) In the Narrative,Traffic Collision (CAD)
3102,T/C - PCF (B) Other Improper Driving,Traffic Collision (CAD)
3103,T/C - PCF (C) Other Than Driver,Traffic Collision (CAD)
3104,T/C - PCF (D) Unk,Traffic Collision (CAD)
3201,T/C - Weather/Lighting/Roadway,Traffic Collision (CAD)
3301,T/C - Traffic Control Devices,Traffic Collision (CAD)
3401,T/C - Type of Collision,Traffic Collision (CAD)
3501,T/C - Ped Actions,Traffic Collision (CAD)
3601,T/C - Special Information and Other,Traffic Collision (CAD)
3602,T/C - Unlicensed motorist,Traffic Collision (CAD)
3603,T/C - Bicyclists colliding into opened vehicle door,Traffic Collision (CAD)
3701,T/C - Movement Preceding Collision,Traffic Collision (CAD)
3801,T/C - Sobriety,Traffic Collision (CAD)
3901,T/C - Safety Equipment,Traffic Collision (CAD)
4001,T/C - Central,Traffic Collision - Division (CAD)
4002,T/C - Rampart,Traffic Collision - Division (CAD)
4003,T/C - Southwest,Traffic Collision - Division (CAD)
4004,T/C - Hollenbeck,Traffic Collision - Division (CAD)
4005,T/C - Harbor,Traffic Collision - Division (CAD)
4006,T/C - Hollywood,Traffic Collision - Division (CAD)
4007,T/C - Wilshire,Traffic Collision - Division (CAD)
4008,T/C - West Los Angeles,Traffic Collision - Division (CAD)
4009,T/C - Van Nuys,Traffic Collision - Division (CAD)
4010,T/C - West Valley,Traffic Collision - Division (CAD)
4011,T/C - Northeast,Traffic Collision - Division (CAD)
4012,T/C - 77th,Traffic Collision - Division (CAD)
4013,T/C - Newton,Traffic Collision - Division (CAD)
4014,T/C - Pacific,Traffic Collision - Division (CAD)
4015,T/C - North Hollywood,Traffic Collision - Division (CAD)
4016,T/C - Foothill,Traffic Collision - Division (CAD)
4017,T/C - Devonshire,Traffic Collision - Division (CAD)
4018,T/C - Southeast,Traffic Collision - Division (CAD)
4019,T/C - Mission,Traffic Collision - Division (CAD)
4020,T/C - Olympic,Traffic Collision - Division (CAD)
4021,T/C - Topanga,Traffic Collision - Division (CAD)
4024,T/C - Central Traffic (CTD),Traffic Collision - Division (CAD)
4025,T/C - South Traffic (STD),Traffic Collision - Division (CAD)
4026,T/C - Valley Traffic (VTD),Traffic Collision - Division (CAD)
4027,T/C - West Traffic (WTD),Traffic Collision - Division (CAD)
9999,Indistinctive MO,Other
