param_classifier__gamma,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__min_child_weight,mean_test_score,std_test_score,rank_test_score
0.0,0.1,7,1,0.5685219493082139,0.0013313142818366713,1
0.0,0.1,7,5,0.5682134776137024,0.0012986563724707602,2
1.0,0.1,7,1,0.5641227175191558,0.0013407864611991666,3
1.0,0.1,7,5,0.5639777713592208,0.0014022165360106185,4
0.0,0.05,7,1,0.5606633442939106,0.0010748380888044734,5
1.0,0.05,7,5,0.5606051751058365,0.001567096921608123,6
1.0,0.05,7,1,0.5605411469632283,0.0014647037361282987,7
0.0,0.05,7,5,0.5600723064657566,0.0016745252890661543,8
0.0,0.1,5,1,0.5577727778814776,0.0005292443488517626,9
0.0,0.1,5,5,0.5575136336796707,0.00042588499797191536,10
1.0,0.1,5,1,0.5572440480436774,0.0007483751257349259,11
1.0,0.1,5,5,0.5570670971930327,0.0004733703465919996,12
1.0,0.05,5,5,0.5516466824383478,0.0007754895947053583,13
0.0,0.05,5,5,0.5514624950369574,0.0007949110541438324,14
1.0,0.05,5,1,0.5513402505821582,0.0009173353120331949,15
0.0,0.05,5,1,0.5512671236008296,0.0008204309212749099,16
0.0,0.1,3,1,0.548844555568951,0.0005205587998287078,17
1.0,0.1,3,1,0.5486095553229671,0.0005632570108749499,18
1.0,0.1,3,5,0.5485921418571011,0.0006662283914636118,19
0.0,0.1,3,5,0.5483672254702117,0.00048163729278025624,20
0.0,0.05,3,1,0.5455077198218488,0.0006439488824085636,21
1.0,0.05,3,1,0.5454467892525724,0.0006126770495271483,22
0.0,0.05,3,5,0.5452938264333661,0.000618079169751412,23
1.0,0.05,3,5,0.5452418249820038,0.0005544553144840301,24
