model,accuracy,macro_precision,macro_recall,macro_f1,macro_roc_auc,log_loss,random_seed
XGBoost (Baseline [800 trees]),0.6771118575418235,0.6585343449456611,0.5611977572912299,0.5642802514017343,0.8496553493795083,0.8034210970694355,42
"XGBoost (Tuned: {'classifier__gamma': 0, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 7, 'classifier__min_child_weight': 1}, 800 trees)",0.6862033110311451,0.6655200019682238,0.5746277077333356,0.5811062192864506,0.858051064211037,0.782950012993445,42
