model,accuracy,macro_precision,macro_recall,macro_f1,macro_roc_auc,log_loss,random_seed
Decision Tree (Baseline),0.5668766229877674,0.42359363455366666,0.4277985698932872,0.42550272398058275,0.6528888998147252,15.592366075707247,42
"Decision Tree (Tuned: {'classifier__class_weight': None, 'classifier__criterion': 'entropy', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 50})",0.6478068909951059,0.5283540561363764,0.4527513227822372,0.46497086669470955,0.7825936053320641,2.9979374468987077,42
