model,accuracy,macro_precision,macro_recall,macro_f1,macro_roc_auc,log_loss,random_seed
Neural Network (Baseline),0.6701490018455106,0.6540015694497474,0.548374815907607,0.5444942999674528,0.8441480848893554,0.8149649500846863,42
"Neural Network (Tuned: {'learning_rate': 0.001, 'hidden_layers': [256, 128]})",0.6726804544637948,0.6513134465914983,0.5534891333202627,0.5515991421529798,0.846147693437949,0.8110610842704773,42
