model,accuracy,macro_precision,macro_recall,macro_f1,macro_roc_auc,log_loss,random_seed
Naive Bayes (Baseline),0.12486321989885077,0.4289263461095468,0.25801947799451674,0.12530042175204056,0.7282784308654424,27.397089012323743,42
Naive Bayes (Tuned: {'classifier__var_smoothing': 0.01}),0.5374083369172895,0.4353677193466995,0.4476302179738226,0.4156761763712959,0.7805265607755637,2.9936920474687168,42
